"name","patients_seen_in_four_hours","attendances_at_ane","emergency_admissions_via_type_1_ae","analysisdate"
"Northern Devon Healthcare NHS Trust",88.1,758,252,"2014.02.23"
"Plymouth Hospitals NHS Trust",98.3,1617,462,"2014.02.23"
"Royal Cornwall Hospitals NHS Trust",89.4,974,413,"2014.02.23"
"Royal Devon And Exeter NHS Foundation Trust",94.5,1874,531,"2014.02.23"
"South Devon Healthcare NHS Foundation Trust",93.6,1398,470,"2014.02.23"
"County Durham And Darlington NHS Foundation Trust",88.3,2355,751,"2014.02.23"
"North Tees And Hartlepool NHS Foundation Trust",98.3,1330,324,"2014.02.23"
"South Tees Hospitals NHS Foundation Trust",97.1,2236,556,"2014.02.23"
"Cambridge University Hospitals NHS Foundation Trust",97,2027,693,"2014.02.23"
"Hinchingbrooke Health Care NHS Trust",95.4,768,207,"2014.02.23"
"Ipswich Hospital NHS Trust",98.4,1357,360,"2014.02.23"
"James Paget University Hospitals NHS Foundation Trust",97.3,1268,240,"2014.02.23"
"Norfolk And Norwich University Hospitals NHS Foundation Trust",94.6,1792,598,"2014.02.23"
"Peterborough And Stamford Hospitals NHS Foundation Trust",87.4,1615,524,"2014.02.23"
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",97.4,969,312,"2014.02.23"
"West Suffolk NHS Foundation Trust",93.5,1161,372,"2014.02.23"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",97.1,2236,421,"2014.02.23"
"Colchester Hospital University NHS Foundation Trust",96.6,1407,420,"2014.02.23"
"Mid Essex Hospital Services NHS Trust",89.7,1413,385,"2014.02.23"
"Southend University Hospital NHS Foundation Trust",86.1,1614,513,"2014.02.23"
"The Princess Alexandra Hospital NHS Trust",94.6,1943,554,"2014.02.23"
"Bolton NHS Foundation Trust",97.2,2102,465,"2014.02.23"
"Central Manchester University Hospitals NHS Foundation Trust",90.6,2765,853,"2014.02.23"
"Pennine Acute Hospitals NHS Trust",96.4,4588,1230,"2014.02.23"
"Salford Royal NHS Foundation Trust",95.1,1702,539,"2014.02.23"
"Stockport NHS Foundation Trust",87.1,1760,539,"2014.02.23"
"Tameside Hospital NHS Foundation Trust",95.1,1427,419,"2014.02.23"
"University Hospital Of South Manchester NHS Foundation Trust",95.7,1731,566,"2014.02.23"
"Wrightington, Wigan And Leigh NHS Foundation Trust",94.5,1634,504,"2014.02.23"
"Bedford Hospital NHS Trust",87.9,1250,297,"2014.02.23"
"East And North Hertfordshire NHS Trust",90.7,2387,685,"2014.02.23"
"Kettering General Hospital NHS Foundation Trust",99.2,1315,334,"2014.02.23"
"Luton And Dunstable University Hospital NHS Foundation Trust",99.1,1578,494,"2014.02.23"
"Milton Keynes Hospital NHS Foundation Trust",85.1,1419,308,"2014.02.23"
"Northampton General Hospital NHS Trust",79.6,1825,458,"2014.02.23"
"West Hertfordshire Hospitals NHS Trust",98.3,1513,549,"2014.02.23"
"Dartford And Gravesham NHS Trust",97.5,1835,523,"2014.02.23"
"East Kent Hospitals University NHS Foundation Trust",92.5,2608,796,"2014.02.23"
"Maidstone And Tunbridge Wells NHS Trust",93.6,2297,714,"2014.02.23"
"Medway NHS Foundation Trust",91.2,1708,238,"2014.02.23"
"Blackpool Teaching Hospitals NHS Foundation Trust",89.7,1542,423,"2014.02.23"
"East Lancashire Hospitals NHS Trust",94.6,2049,722,"2014.02.23"
"Lancashire Teaching Hospitals NHS Foundation Trust",93.5,2252,437,"2014.02.23"
"United Lincolnshire Hospitals NHS Trust",95.4,2819,747,"2014.02.23"
"University Hospitals Of Leicester NHS Trust",71.4,2414,833,"2014.02.23"
"Barking, Havering And Redbridge University Hospitals NHS Trust",84.5,3824,955,"2014.02.23"
"Barnet And Chase Farm Hospitals NHS Trust",86.6,2011,398,"2014.02.23"
"Barts Health NHS Trust",97,5709,1608,"2014.02.23"
"Chelsea And Westminster Hospital NHS Foundation Trust",98.2,2200,363,"2014.02.23"
"Croydon Health Services NHS Trust",91.1,1275,534,"2014.02.23"
"Ealing Hospital NHS Trust",96.9,753,365,"2014.02.23"
"Epsom And St Helier University Hospitals NHS Trust",96.8,2630,639,"2014.02.23"
"Guy's And St Thomas' NHS Foundation Trust",97.8,2560,543,"2014.02.23"
"Homerton University Hospital NHS Foundation Trust",97.4,2295,305,"2014.02.23"
"Imperial College Healthcare NHS Trust",90,2377,1061,"2014.02.23"
"King's College Hospital NHS Foundation Trust",84.9,3725,924,"2014.02.23"
"Kingston Hospital NHS Foundation Trust",95.9,1870,307,"2014.02.23"
"Lewisham And Greenwich NHS Trust",88.2,3872,868,"2014.02.23"
"North Middlesex University Hospital NHS Trust",97.4,3472,563,"2014.02.23"
"North West London Hospitals NHS Trust",76.7,2012,718,"2014.02.23"
"Royal Free London NHS Foundation Trust",96,1781,322,"2014.02.23"
"St George's Healthcare NHS Trust",89.1,2435,820,"2014.02.23"
"The Hillingdon Hospitals NHS Foundation Trust",88.9,1089,448,"2014.02.23"
"The Whittington Hospital NHS Trust",95.6,1794,407,"2014.02.23"
"University College London Hospitals NHS Foundation Trust",96.3,2487,301,"2014.02.23"
"West Middlesex University Hospital NHS Trust",94.3,1168,425,"2014.02.23"
"Aintree University Hospital NHS Foundation Trust",92.7,1498,385,"2014.02.23"
"Alder Hey Children's NHS Foundation Trust",98.1,1012,315,"2014.02.23"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",92,1705,537,"2014.02.23"
"Southport And Ormskirk Hospital NHS Trust",89.6,911,240,"2014.02.23"
"St Helens And Knowsley Hospitals NHS Trust",91.5,1830,685,"2014.02.23"
"Harrogate And District NHS Foundation Trust",95.5,806,185,"2014.02.23"
"Hull And East Yorkshire Hospitals NHS Trust",93.5,2321,800,"2014.02.23"
"Northern Lincolnshire And Goole NHS Foundation Trust",96.6,2319,602,"2014.02.23"
"York Teaching Hospital NHS Foundation Trust",95.2,2275,601,"2014.02.23"
"Burton Hospitals NHS Foundation Trust",90.5,1136,366,"2014.02.23"
"Mid Staffordshire NHS Foundation Trust",81.3,829,194,"2014.02.23"
"Shrewsbury And Telford Hospital NHS Trust",92.9,1783,472,"2014.02.23"
"University Hospital Of North Staffordshire NHS Trust",87.2,2289,856,"2014.02.23"
"Barnsley Hospital NHS Foundation Trust",93.6,1506,406,"2014.02.23"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",95.3,2602,604,"2014.02.23"
"Sheffield Children's NHS Foundation Trust",98.1,1079,147,"2014.02.23"
"Sheffield Teaching Hospitals NHS Foundation Trust",91.1,2192,597,"2014.02.23"
"The Rotherham NHS Foundation Trust",94.6,1473,243,"2014.02.23"
"Ashford And St Peter's Hospitals NHS Foundation Trust",88.5,1659,420,"2014.02.23"
"Brighton And Sussex University Hospitals NHS Trust",90.6,2581,727,"2014.02.23"
"East Sussex Healthcare NHS Trust",91.9,1863,541,"2014.02.23"
"Frimley Park Hospital NHS Foundation Trust",95.9,1862,554,"2014.02.23"
"Royal Surrey County Hospital NHS Foundation Trust",93.2,1122,371,"2014.02.23"
"Surrey And Sussex Healthcare NHS Trust",96.4,1546,517,"2014.02.23"
"Western Sussex Hospitals NHS Foundation Trust",93,2408,675,"2014.02.23"
"Buckinghamshire Healthcare NHS Trust",89.2,1459,352,"2014.02.23"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",86,1881,539,"2014.02.23"
"Oxford University Hospitals NHS Trust",88.2,2176,619,"2014.02.23"
"Royal Berkshire NHS Foundation Trust",92.2,1812,623,"2014.02.23"
"Dorset County Hospital NHS Foundation Trust",95.5,710,220,"2014.02.23"
"Hampshire Hospitals NHS Foundation Trust",96.1,1927,400,"2014.02.23"
"Isle Of Wight NHS Trust",92.9,722,162,"2014.02.23"
"Poole Hospital NHS Foundation Trust",92.6,1154,352,"2014.02.23"
"Portsmouth Hospitals NHS Trust",86.1,1866,679,"2014.02.23"
"The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust",96.7,1250,355,"2014.02.23"
"University Hospital Southampton NHS Foundation Trust",83.1,1770,420,"2014.02.23"
"Airedale NHS Foundation Trust",96.4,973,231,"2014.02.23"
"Bradford Teaching Hospitals NHS Foundation Trust",95.2,2487,660,"2014.02.23"
"Calderdale And Huddersfield NHS Foundation Trust",93.9,2607,541,"2014.02.23"
"Leeds Teaching Hospitals NHS Trust",91.8,3835,1438,"2014.02.23"
"Mid Yorkshire Hospitals NHS Trust",98.7,4256,1006,"2014.02.23"
"George Eliot Hospital NHS Trust",95.2,1237,267,"2014.02.16"
"South Warwickshire NHS Foundation Trust",96.9,1050,343,"2014.02.16"
"University Hospitals Coventry And Warwickshire NHS Trust",91.7,2524,904,"2014.02.16"
"Worcestershire Acute Hospitals NHS Trust",83.8,2154,664,"2014.02.16"
"Wye Valley NHS Trust",91.3,872,257,"2014.02.16"
"Gloucestershire Hospitals NHS Foundation Trust",94,2265,727,"2014.02.16"
"Great Western Hospitals NHS Foundation Trust",83.9,1420,388,"2014.02.16"
"Royal United Hospital Bath NHS Trust",79.4,1291,506,"2014.02.16"
"Salisbury NHS Foundation Trust",96.2,797,210,"2014.02.16"
"Birmingham Children's Hospital NHS Foundation Trust",94.9,966,222,"2014.02.16"
"Heart Of England NHS Foundation Trust",87.9,4456,1564,"2014.02.16"
"Sandwell And West Birmingham Hospitals NHS Trust",89.8,2909,745,"2014.02.16"
"The Dudley Group NHS Foundation Trust",88,1784,539,"2014.02.16"
"The Royal Wolverhampton NHS Trust",87.9,2122,392,"2014.02.16"
"University Hospitals Birmingham NHS Foundation Trust",97.1,1825,594,"2014.02.16"
"Walsall Healthcare NHS Trust",90.6,1772,361,"2014.02.16"
"North Bristol NHS Trust",94.5,1221,424,"2014.02.16"
"Taunton And Somerset NHS Foundation Trust",94.7,997,318,"2014.02.16"
"University Hospitals Bristol NHS Foundation Trust",90.1,1760,585,"2014.02.16"
"Weston Area Health NHS Trust",95.6,844,294,"2014.02.16"
"Yeovil District Hospital NHS Foundation Trust",97,811,237,"2014.02.16"
"Countess Of Chester Hospital NHS Foundation Trust",94.2,1232,364,"2014.02.16"
"East Cheshire NHS Trust",94.4,887,234,"2014.02.16"
"Mid Cheshire Hospitals NHS Foundation Trust",90.6,1187,271,"2014.02.16"
"Warrington And Halton Hospitals NHS Foundation Trust",95.5,1454,403,"2014.02.16"
"Wirral University Teaching Hospital NHS Foundation Trust",84.1,1715,618,"2014.02.16"
"City Hospitals Sunderland NHS Foundation Trust",88.9,1647,506,"2014.02.16"
"Gateshead Health NHS Foundation Trust",93.1,1353,349,"2014.02.16"
"North Cumbria University Hospitals NHS Trust",96.9,1338,371,"2014.02.16"
"Northumbria Healthcare NHS Foundation Trust",98,2608,901,"2014.02.16"
"South Tyneside NHS Foundation Trust",94.6,1109,226,"2014.02.16"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",96,2270,508,"2014.02.16"
"University Hospitals Of Morecambe Bay NHS Foundation Trust",91.5,1531,474,"2014.02.16"
"Chesterfield Royal Hospital NHS Foundation Trust",94.9,1364,415,"2014.02.16"
"Derby Hospitals NHS Foundation Trust",94.3,2268,735,"2014.02.16"
"Nottingham University Hospitals NHS Trust",83.8,3146,804,"2014.02.16"
"Sherwood Forest Hospitals NHS Foundation Trust",94.4,1727,474,"2014.02.16"
"Northern Devon Healthcare NHS Trust",92.4,632,232,"2014.02.16"
"Plymouth Hospitals NHS Trust",98.6,1617,467,"2014.02.16"
"Royal Cornwall Hospitals NHS Trust",73.5,1020,414,"2014.02.16"
"Royal Devon And Exeter NHS Foundation Trust",93.5,1755,588,"2014.02.16"
"South Devon Healthcare NHS Foundation Trust",89.4,1389,493,"2014.02.16"
"County Durham And Darlington NHS Foundation Trust",83.3,2346,715,"2014.02.16"
"North Tees And Hartlepool NHS Foundation Trust",94,1388,332,"2014.02.16"
"South Tees Hospitals NHS Foundation Trust",96.9,2323,628,"2014.02.16"
"Cambridge University Hospitals NHS Foundation Trust",92.9,1996,722,"2014.02.16"
"Hinchingbrooke Health Care NHS Trust",92.8,759,192,"2014.02.16"
"Ipswich Hospital NHS Trust",96,1511,436,"2014.02.16"
"James Paget University Hospitals NHS Foundation Trust",97.2,1244,221,"2014.02.16"
"Norfolk And Norwich University Hospitals NHS Foundation Trust",95.6,1854,620,"2014.02.16"
"Peterborough And Stamford Hospitals NHS Foundation Trust",93.4,1549,521,"2014.02.16"
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",91.4,964,313,"2014.02.16"
"West Suffolk NHS Foundation Trust",97.5,1074,333,"2014.02.16"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",96.1,2228,448,"2014.02.16"
"Colchester Hospital University NHS Foundation Trust",95.9,1427,406,"2014.02.16"
"Mid Essex Hospital Services NHS Trust",94,1477,380,"2014.02.16"
"Southend University Hospital NHS Foundation Trust",87.6,1552,533,"2014.02.16"
"The Princess Alexandra Hospital NHS Trust",90.1,1957,543,"2014.02.16"
"Bolton NHS Foundation Trust",97.7,2096,516,"2014.02.16"
"Central Manchester University Hospitals NHS Foundation Trust",85,2877,802,"2014.02.16"
"Pennine Acute Hospitals NHS Trust",94.9,4686,1322,"2014.02.16"
"Salford Royal NHS Foundation Trust",95.3,1701,569,"2014.02.16"
"Stockport NHS Foundation Trust",90.5,1640,539,"2014.02.16"
"Tameside Hospital NHS Foundation Trust",95.7,1474,396,"2014.02.16"
"University Hospital Of South Manchester NHS Foundation Trust",88.7,1750,576,"2014.02.16"
"Wrightington, Wigan And Leigh NHS Foundation Trust",89.6,1694,525,"2014.02.16"
"Bedford Hospital NHS Trust",91.5,1166,250,"2014.02.16"
"East And North Hertfordshire NHS Trust",95.7,2409,705,"2014.02.16"
"Kettering General Hospital NHS Foundation Trust",99.3,1375,374,"2014.02.16"
"Luton And Dunstable University Hospital NHS Foundation Trust",97.1,1634,502,"2014.02.16"
"Milton Keynes Hospital NHS Foundation Trust",77.3,1454,270,"2014.02.16"
"Northampton General Hospital NHS Trust",75.1,1858,452,"2014.02.16"
"West Hertfordshire Hospitals NHS Trust",88.9,1564,575,"2014.02.16"
"Dartford And Gravesham NHS Trust",96.6,1830,549,"2014.02.16"
"East Kent Hospitals University NHS Foundation Trust",94.1,2545,766,"2014.02.16"
"Maidstone And Tunbridge Wells NHS Trust",97.1,2307,682,"2014.02.16"
"Medway NHS Foundation Trust",81.9,1742,302,"2014.02.16"
"Blackpool Teaching Hospitals NHS Foundation Trust",91.1,1527,419,"2014.02.16"
"East Lancashire Hospitals NHS Trust",91.2,1882,771,"2014.02.16"
"Lancashire Teaching Hospitals NHS Foundation Trust",94,2278,435,"2014.02.16"
"United Lincolnshire Hospitals NHS Trust",94.2,2928,741,"2014.02.16"
"University Hospitals Of Leicester NHS Trust",73.6,2459,824,"2014.02.16"
"Barking, Havering And Redbridge University Hospitals NHS Trust",80.9,3847,969,"2014.02.16"
"Barnet And Chase Farm Hospitals NHS Trust",86.1,2029,401,"2014.02.16"
"Barts Health NHS Trust",91.7,5762,1715,"2014.02.16"
"Chelsea And Westminster Hospital NHS Foundation Trust",98.2,2183,338,"2014.02.16"
"Croydon Health Services NHS Trust",92,1262,534,"2014.02.16"
"Ealing Hospital NHS Trust",97.8,820,415,"2014.02.16"
"Epsom And St Helier University Hospitals NHS Trust",94.4,2589,680,"2014.02.16"
"Guy's And St Thomas' NHS Foundation Trust",95.1,2536,572,"2014.02.16"
"Homerton University Hospital NHS Foundation Trust",96.4,2364,308,"2014.02.16"
"Imperial College Healthcare NHS Trust",91.9,2389,997,"2014.02.16"
"King's College Hospital NHS Foundation Trust",82.4,3767,909,"2014.02.16"
"Kingston Hospital NHS Foundation Trust",93.1,1873,328,"2014.02.16"
"Lewisham And Greenwich NHS Trust",88.7,3861,905,"2014.02.16"
"North Middlesex University Hospital NHS Trust",95,3444,592,"2014.02.16"
"North West London Hospitals NHS Trust",81.9,1913,757,"2014.02.16"
"Royal Free London NHS Foundation Trust",97.1,1801,304,"2014.02.16"
"St George's Healthcare NHS Trust",90.3,2453,749,"2014.02.16"
"The Hillingdon Hospitals NHS Foundation Trust",92.1,1061,466,"2014.02.16"
"The Whittington Hospital NHS Trust",96.8,1821,340,"2014.02.16"
"University College London Hospitals NHS Foundation Trust",95.6,2389,264,"2014.02.16"
"West Middlesex University Hospital NHS Trust",94.3,1193,451,"2014.02.16"
"Aintree University Hospital NHS Foundation Trust",90.2,1561,414,"2014.02.16"
"Alder Hey Children's NHS Foundation Trust",98.5,1107,325,"2014.02.16"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",97.3,1613,596,"2014.02.16"
"Southport And Ormskirk Hospital NHS Trust",92.9,830,241,"2014.02.16"
"St Helens And Knowsley Hospitals NHS Trust",93,1950,686,"2014.02.16"
"Harrogate And District NHS Foundation Trust",93.6,797,176,"2014.02.16"
"Hull And East Yorkshire Hospitals NHS Trust",88.5,2314,819,"2014.02.16"
"Northern Lincolnshire And Goole NHS Foundation Trust",94.8,2236,597,"2014.02.16"
"York Teaching Hospital NHS Foundation Trust",93.7,2375,650,"2014.02.16"
"Burton Hospitals NHS Foundation Trust",95.7,1109,352,"2014.02.16"
"Mid Staffordshire NHS Foundation Trust",80.1,875,236,"2014.02.16"
"Shrewsbury And Telford Hospital NHS Trust",92.6,1802,479,"2014.02.16"
"University Hospital Of North Staffordshire NHS Trust",80.4,2277,869,"2014.02.16"
"Barnsley Hospital NHS Foundation Trust",92.4,1484,421,"2014.02.16"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",91.1,2685,654,"2014.02.16"
"Sheffield Children's NHS Foundation Trust",97.9,987,112,"2014.02.16"
"Sheffield Teaching Hospitals NHS Foundation Trust",88.8,2313,607,"2014.02.16"
"The Rotherham NHS Foundation Trust",95.2,1383,239,"2014.02.16"
"Ashford And St Peter's Hospitals NHS Foundation Trust",85.8,1627,394,"2014.02.16"
"Brighton And Sussex University Hospitals NHS Trust",86.8,2587,727,"2014.02.16"
"East Sussex Healthcare NHS Trust",94.4,1818,507,"2014.02.16"
"Frimley Park Hospital NHS Foundation Trust",93.8,2001,580,"2014.02.16"
"Royal Surrey County Hospital NHS Foundation Trust",88,1134,380,"2014.02.16"
"Surrey And Sussex Healthcare NHS Trust",96.1,1529,500,"2014.02.16"
"Western Sussex Hospitals NHS Foundation Trust",92.6,2386,675,"2014.02.16"
"Buckinghamshire Healthcare NHS Trust",87,1430,362,"2014.02.16"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",82.7,1890,580,"2014.02.16"
"Oxford University Hospitals NHS Trust",85.4,2257,613,"2014.02.16"
"Royal Berkshire NHS Foundation Trust",90.9,1824,552,"2014.02.16"
"Dorset County Hospital NHS Foundation Trust",98.7,694,247,"2014.02.16"
"Hampshire Hospitals NHS Foundation Trust",96.3,1807,446,"2014.02.16"
"Isle Of Wight NHS Trust",96.1,699,132,"2014.02.16"
"Poole Hospital NHS Foundation Trust",92.1,1187,374,"2014.02.16"
"Portsmouth Hospitals NHS Trust",87.7,1762,650,"2014.02.16"
"The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust",96.1,1264,331,"2014.02.16"
"University Hospital Southampton NHS Foundation Trust",90,1732,399,"2014.02.16"
"Airedale NHS Foundation Trust",97.8,988,231,"2014.02.16"
"Bradford Teaching Hospitals NHS Foundation Trust",94.8,2466,666,"2014.02.16"
"Calderdale And Huddersfield NHS Foundation Trust",93.5,2672,582,"2014.02.16"
"Leeds Teaching Hospitals NHS Trust",93,3816,1455,"2014.02.16"
"Mid Yorkshire Hospitals NHS Trust",93.7,4088,1011,"2014.02.16"
"George Eliot Hospital NHS Trust",91.1,1306,297,"2014.02.09"
"South Warwickshire NHS Foundation Trust",94.5,1098,326,"2014.02.09"
"University Hospitals Coventry And Warwickshire NHS Trust",90.7,2562,876,"2014.02.09"
"Worcestershire Acute Hospitals NHS Trust",87.1,2247,682,"2014.02.09"
"Wye Valley NHS Trust",89,919,259,"2014.02.09"
"Gloucestershire Hospitals NHS Foundation Trust",91.6,2246,739,"2014.02.09"
"Great Western Hospitals NHS Foundation Trust",76.4,1407,401,"2014.02.09"
"Royal United Hospital Bath NHS Trust",89.1,1289,515,"2014.02.09"
"Salisbury NHS Foundation Trust",94.1,775,203,"2014.02.09"
"Birmingham Children's Hospital NHS Foundation Trust",96.8,1064,251,"2014.02.09"
"Heart Of England NHS Foundation Trust",90.4,4544,1624,"2014.02.09"
"Sandwell And West Birmingham Hospitals NHS Trust",91.1,2937,752,"2014.02.09"
"The Dudley Group NHS Foundation Trust",88.1,1939,557,"2014.02.09"
"The Royal Wolverhampton NHS Trust",90.6,2137,381,"2014.02.09"
"University Hospitals Birmingham NHS Foundation Trust",95,1897,606,"2014.02.09"
"Walsall Healthcare NHS Trust",83.3,1901,436,"2014.02.09"
"North Bristol NHS Trust",84.9,1321,503,"2014.02.09"
"Taunton And Somerset NHS Foundation Trust",95.9,964,340,"2014.02.09"
"University Hospitals Bristol NHS Foundation Trust",87,1817,560,"2014.02.09"
"Weston Area Health NHS Trust",92.3,934,264,"2014.02.09"
"Yeovil District Hospital NHS Foundation Trust",93,839,299,"2014.02.09"
"Countess Of Chester Hospital NHS Foundation Trust",90.6,1243,335,"2014.02.09"
"East Cheshire NHS Trust",95.8,903,242,"2014.02.09"
"Mid Cheshire Hospitals NHS Foundation Trust",87.2,1145,234,"2014.02.09"
"Warrington And Halton Hospitals NHS Foundation Trust",89.1,1575,457,"2014.02.09"
"Wirral University Teaching Hospital NHS Foundation Trust",88.6,1835,634,"2014.02.09"
"City Hospitals Sunderland NHS Foundation Trust",91.7,1632,528,"2014.02.09"
"Gateshead Health NHS Foundation Trust",93.1,1416,355,"2014.02.09"
"North Cumbria University Hospitals NHS Trust",95.7,1436,408,"2014.02.09"
"Northumbria Healthcare NHS Foundation Trust",97.5,2611,756,"2014.02.09"
"South Tyneside NHS Foundation Trust",95.5,1139,230,"2014.02.09"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",96.5,2321,523,"2014.02.09"
"University Hospitals Of Morecambe Bay NHS Foundation Trust",92.7,1665,497,"2014.02.09"
"Chesterfield Royal Hospital NHS Foundation Trust",96.1,1297,408,"2014.02.09"
"Derby Hospitals NHS Foundation Trust",94.2,2205,732,"2014.02.09"
"Nottingham University Hospitals NHS Trust",89.9,3022,753,"2014.02.09"
"Sherwood Forest Hospitals NHS Foundation Trust",92,1764,530,"2014.02.09"
"Northern Devon Healthcare NHS Trust",93,699,243,"2014.02.09"
"Plymouth Hospitals NHS Trust",98.5,1651,486,"2014.02.09"
"Royal Cornwall Hospitals NHS Trust",88.2,956,415,"2014.02.09"
"Royal Devon And Exeter NHS Foundation Trust",95.9,1838,549,"2014.02.09"
"South Devon Healthcare NHS Foundation Trust",89.1,1395,494,"2014.02.09"
"County Durham And Darlington NHS Foundation Trust",82.5,2401,744,"2014.02.09"
"North Tees And Hartlepool NHS Foundation Trust",98.2,1283,256,"2014.02.09"
"South Tees Hospitals NHS Foundation Trust",96.4,2392,589,"2014.02.09"
"Cambridge University Hospitals NHS Foundation Trust",95.8,2003,682,"2014.02.09"
"Hinchingbrooke Health Care NHS Trust",97.1,725,184,"2014.02.09"
"Ipswich Hospital NHS Trust",97.2,1523,410,"2014.02.09"
"James Paget University Hospitals NHS Foundation Trust",97.6,1226,240,"2014.02.09"
"Norfolk And Norwich University Hospitals NHS Foundation Trust",96,1881,567,"2014.02.09"
"Peterborough And Stamford Hospitals NHS Foundation Trust",89.3,1660,524,"2014.02.09"
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",94.4,950,332,"2014.02.09"
"West Suffolk NHS Foundation Trust",98.5,1124,320,"2014.02.09"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",95.8,2332,469,"2014.02.09"
"Colchester Hospital University NHS Foundation Trust",94.8,1504,432,"2014.02.09"
"Mid Essex Hospital Services NHS Trust",92.7,1541,409,"2014.02.09"
"Southend University Hospital NHS Foundation Trust",89.5,1656,552,"2014.02.09"
"The Princess Alexandra Hospital NHS Trust",90.7,2040,515,"2014.02.09"
"Bolton NHS Foundation Trust",95.7,2126,491,"2014.02.09"
"Central Manchester University Hospitals NHS Foundation Trust",88.1,2916,819,"2014.02.09"
"Pennine Acute Hospitals NHS Trust",95.6,4663,1230,"2014.02.09"
"Salford Royal NHS Foundation Trust",95.8,1752,576,"2014.02.09"
"Stockport NHS Foundation Trust",87.4,1698,568,"2014.02.09"
"Tameside Hospital NHS Foundation Trust",91.3,1580,409,"2014.02.09"
"University Hospital Of South Manchester NHS Foundation Trust",88.2,1812,585,"2014.02.09"
"Wrightington, Wigan And Leigh NHS Foundation Trust",94,1723,491,"2014.02.09"
"Bedford Hospital NHS Trust",92.9,1217,256,"2014.02.09"
"East And North Hertfordshire NHS Trust",95,2429,713,"2014.02.09"
"Kettering General Hospital NHS Foundation Trust",94.3,1380,332,"2014.02.09"
"Luton And Dunstable University Hospital NHS Foundation Trust",98.3,1576,520,"2014.02.09"
"Milton Keynes Hospital NHS Foundation Trust",83,1487,296,"2014.02.09"
"Northampton General Hospital NHS Trust",83.1,1845,481,"2014.02.09"
"West Hertfordshire Hospitals NHS Trust",90.6,1608,627,"2014.02.09"
"Dartford And Gravesham NHS Trust",95.7,1834,584,"2014.02.09"
"East Kent Hospitals University NHS Foundation Trust",95.4,2663,804,"2014.02.09"
"Maidstone And Tunbridge Wells NHS Trust",93,2343,701,"2014.02.09"
"Medway NHS Foundation Trust",77.2,1815,206,"2014.02.09"
"Blackpool Teaching Hospitals NHS Foundation Trust",95.5,1558,418,"2014.02.09"
"East Lancashire Hospitals NHS Trust",89.8,1967,771,"2014.02.09"
"Lancashire Teaching Hospitals NHS Foundation Trust",90.4,2374,438,"2014.02.09"
"United Lincolnshire Hospitals NHS Trust",94.4,2968,703,"2014.02.09"
"University Hospitals Of Leicester NHS Trust",71.9,2487,888,"2014.02.09"
"Barking, Havering And Redbridge University Hospitals NHS Trust",82.1,4028,946,"2014.02.09"
"Barnet And Chase Farm Hospitals NHS Trust",89.2,2037,403,"2014.02.09"
"Barts Health NHS Trust",89.6,5724,1671,"2014.02.09"
"Chelsea And Westminster Hospital NHS Foundation Trust",97.4,2280,324,"2014.02.09"
"Croydon Health Services NHS Trust",90.5,1309,599,"2014.02.09"
"Ealing Hospital NHS Trust",92.5,882,373,"2014.02.09"
"Epsom And St Helier University Hospitals NHS Trust",95.3,2626,650,"2014.02.09"
"Guy's And St Thomas' NHS Foundation Trust",94.7,2550,572,"2014.02.09"
"Homerton University Hospital NHS Foundation Trust",94.2,2276,311,"2014.02.09"
"Imperial College Healthcare NHS Trust",92.2,2412,1055,"2014.02.09"
"King's College Hospital NHS Foundation Trust",81.6,3841,950,"2014.02.09"
"Kingston Hospital NHS Foundation Trust",94.3,1864,335,"2014.02.09"
"Lewisham And Greenwich NHS Trust",86,4072,951,"2014.02.09"
"North Middlesex University Hospital NHS Trust",96.8,3657,622,"2014.02.09"
"North West London Hospitals NHS Trust",83.3,1988,791,"2014.02.09"
"Royal Free London NHS Foundation Trust",92,1842,338,"2014.02.09"
"St George's Healthcare NHS Trust",93,2539,850,"2014.02.09"
"The Hillingdon Hospitals NHS Foundation Trust",88.5,1153,510,"2014.02.09"
"The Whittington Hospital NHS Trust",98,1770,312,"2014.02.09"
"University College London Hospitals NHS Foundation Trust",91.9,2491,344,"2014.02.09"
"West Middlesex University Hospital NHS Trust",95.4,1141,411,"2014.02.09"
"Aintree University Hospital NHS Foundation Trust",92.6,1504,420,"2014.02.09"
"Alder Hey Children's NHS Foundation Trust",98.5,1197,345,"2014.02.09"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",92.7,1789,630,"2014.02.09"
"Southport And Ormskirk Hospital NHS Trust",91,840,260,"2014.02.09"
